인허가일자,영업상태명,폐업일자,소재지전체주소,사업장명,업태구분명,시설총규모
2014-12-11,폐업,2018-10-15,"충청남도 서산시 읍내동 55번지 예천동 47, 읍내현대아파트상가 102호",자담치킨 호수공원점,호프/통닭,36.5
1995-12-29,폐업,2002-11-28,충청남도 천안시 서북구 쌍용동 542-4번지 5통,페리카나쌍용점,호프/통닭,25.6
2006-07-25,폐업,2016-12-30,"충청남도 서산시 동문동 277-31번지 ,278-26(1층)",네네치킨 동문점,통닭(치킨),25.55
2004-04-01,폐업,2013-02-06,충청남도 아산시 득산동 387-8번지,페리카나 득산점,통닭(치킨),31.62
1996-01-31,폐업,2003-09-02,충청남도 천안시 동남구 신부동 479-55번지,페리카나2단지 체인점,호프/통닭,19.98
2016-07-04,폐업,2016-08-21,충청남도 태안군 소원면 의항리 4블럭 5롯트,네네치킨,호프/통닭,45.0
1997-07-18,폐업,2007-01-10,충청남도 천안시 동남구 신방동 895번지 두레현대아파트1단지상가 105호,페리카나 신방점,호프/통닭,23.92
1989-11-10,폐업,2010-07-29,충청남도 아산시 둔포면 둔포리 420-2번지,페리카나치킨,패스트푸드,35.6
1991-04-03,폐업,2020-03-18,충청남도 천안시 서북구 두정동 1625번지,페리카나양념통닭두정체인,통닭(치킨),35.26
1995-03-30,폐업,2003-06-30,충청남도 천안시 서북구 쌍용동 654번지 일성3차 능수상가 104호,쌍용능수 페리카나치킨,호프/통닭,15.05
1994-02-04,폐업,2016-12-27,충청남도 천안시 서북구 쌍용동 818번지,페리카나 일성체인점,호프/통닭,25.08
1997-09-20,폐업,2020-02-26,충청남도 천안시 서북구 성정동 171-1번지,페리카나치킨,호프/통닭,27.13
1998-02-04,폐업,2006-05-17,충청남도 천안시 동남구 안서동 447-10번지,교촌치킨안서점,한식,58.1
2006-03-03,폐업,2017-09-18,충청남도 부여군 부여읍 구아리 288-1번지,네네치킨,통닭(치킨),44.4
2015-10-16,폐업,2018-12-06,충청남도 논산시 반월동 104-3번지,페리카나1호점,호프/통닭,35.99
2007-04-06,폐업,2014-11-17,충청남도 서산시 동문동 664-4번지,동문읍내점굽네치킨,한식,30.24
2014-06-19,폐업,2014-09-01,충청남도 태안군 소원면 의항리 0번지 4블럭 5롯트,네네치킨,통닭(치킨),45.0
